constituency_id,constituency_name,district_id,candidate_name,votes,percentage,gender,total_registered,banned_votes,votes_cast
50,Chiradzulu Nyungwe,5,DPP – Macpherson Mwayi Ndalama,20089,82.7,1,28650,291,24291
50,Chiradzulu Nyungwe,5,IND – Matthews Ngwale,1296,5.34,1,28650,291,24291
52,Chiradzulu Thumbwe,5,DPP – Joseph Mathyola Mwanamveka,19304,75.05,1,30021,372,25720
52,Chiradzulu Thumbwe,5,IND – Ron Richard Muphuwa,3116,12.12,1,30021,372,25720
54,Chitipa Central,6,IND – Fiskani Barnet Nyondo,6899,47.58,1,18158,65,14500
54,Chitipa Central,6,MCP – Alinubwila Mwenesongole,3934,27.13,1,18158,65,14500
55,Chitipa Chendo,6,UTM – Moses Ramsey Mlenga,5981,44.95,1,17370,80,13307
55,Chitipa Chendo,6,IND – Davies Paulos Ng’ambi,4989,37.49,1,17370,80,13307
56,Chitipa East,6,IND – Kenson Malanga,7331,53.38,1,16195,80,13733
56,Chitipa East,6,MCP – kezzie msukwa,5205,37.9,,16195,80,13733
57,Chitipa North,6,IND – Faless Debrah Moyo,5311,51.22,0,14485,89,10370
57,Chitipa North,6,MCP – Isaac Mwepa,3228,31.13,1,14485,89,10370
58,Chitipa South,6,IND – Chance Munthali,12820,81.23,1,20772,106,15782
58,Chitipa South,6,DPP – Limbikani Mhango Stanley,1894,12,1,20772,106,15782
60,Dedza Boma,7,IND – Howard Mzambweuluemba,6168,28.48,1,30918,350,21659
60,Dedza Boma,7,MCP – Gerald Bartholomew Kampanikiza,6103,28.18,1,30918,350,21659
63,Dedza Chikoma,7,MCP – Auzious John Chidovu,13029,49.58,1,36670,562,26278
63,Dedza Chikoma,7,IND – Maloto Malovi Kapanganeni,6823,25.96,1,36670,562,26278
64,Dedza Dzalanyama,7,IND – Morris Harrison Chikafa,11615,50.65,1,37443,449,22930
64,Dedza Dzalanyama,7,MCP – Godfrey Chisoni,7271,31.71,1,37443,449,22930
66,Dedza Golomoti,7,IND – Allan Esau Phiri,10570,46.89,1,32851,1000,22544
66,Dedza Golomoti,7,IND – Madalitso Veronica Mainja,4205,18.65,0,32851,1000,22544
67,Dedza Kasina,7,MCP – Joshua Masanza Malango,13326,45.18,1,40486,492,29496
67,Dedza Kasina,7,IND – Donald Tatha Kazanga,8200,27.8,1,40486,492,29496
68,Dedza Linthipe,7,IND – Jacob Joseph Kaumphawi,17020,54.83,1,40876,684,31042
68,Dedza Linthipe,7,MCP – Themuka Mkhwewu,8190,26.38,1,40876,684,31042
69,Dedza Mayani,7,IND – Savel Kafwafwa,14199,47.43,1,42103,490,29936
69,Dedza Mayani,7,MCP – Patrick Zebron Chilondola,11790,39.38,1,42103,490,29936
70,Dedza Mlunduni,7,MCP – Moses Kunkuyu Kalongashawa,13448,46.43,1,38396,831,28967
70,Dedza Mlunduni,7,IND – Ishmael Onani,11557,39.9,1,38396,831,28967
71,Dedza Mphunzi,7,IND – Emmanuel Mawindo,9338,42.15,1,33565,408,22154
71,Dedza Mphunzi,7,MCP – Clement Claude Mlombwa,7040,31.78,1,33565,408,22154
72,Dedza Mtakataka,7,MCP – Patrick Siyabonga Bandawe,8837,56.56,1,21875,300,15624
72,Dedza Mtakataka,7,IND – Nancystella Kaendera Maluza,3830,24.51,0,21875,300,15624
